Provinsi,Komoditas,Tahun,Luas Panen,Produksi
INDONESIA,Jagung,2004,3356914.0,11225243.0
INDONESIA,Jagung,2005,3625987.0,12523894.0
INDONESIA,Jagung,2006,3345805.0,11609463.0
INDONESIA,Jagung,2007,3630324.0,13287527.0
INDONESIA,Jagung,2008,4001724.0,16317252.0
INDONESIA,Jagung,2009,4160659.0,17629748.0
INDONESIA,Jagung,2010,4131676.0,18327636.0
INDONESIA,Jagung,2011,3864692.0,17643250.0
INDONESIA,Jagung,2012,3957595.0,19387022.0
INDONESIA,Jagung,2013,3821504.0,18511853.0
INDONESIA,Jagung,2014,3837019.0,19008426.0
INDONESIA,Jagung,2015,3787367.0,19612435.0
INDONESIA,Jagung,2020,2337866.28,12928940.8
INDONESIA,Jagung,2021,2328059.75,13414921.72
INDONESIA,Jagung,2022,2764366.2,16527272.61
INDONESIA,Jagung,2023,2487190.57,14460601.32
JAMBI,Jagung,1993,6619.0,10206.0
JAMBI,Jagung,1994,7825.0,11337.0
JAMBI,Jagung,1995,9499.0,14213.0
JAMBI,Jagung,1996,11975.0,17895.0
JAMBI,Jagung,1997,10524.0,17764.0
JAMBI,Jagung,1998,18345.0,30320.0
JAMBI,Jagung,1999,18940.0,30533.0
JAMBI,Jagung,2000,12496.0,24875.0
JAMBI,Jagung,2001,11485.0,23975.0
JAMBI,Jagung,2002,11528.0,26722.0
JAMBI,Jagung,2003,8966.0,27077.0
JAMBI,Jagung,2004,8724.0,27540.0
JAMBI,Jagung,2005,8874.0,29679.0
JAMBI,Jagung,2006,8637.0,29288.0
JAMBI,Jagung,2007,8655.0,30028.0
JAMBI,Jagung,2008,9520.0,34616.0
JAMBI,Jagung,2009,10112.0,38169.0
JAMBI,Jagung,2010,8280.0,30691.0
JAMBI,Jagung,2011,6706.0,25521.0
JAMBI,Jagung,2012,6587.0,25571.0
JAMBI,Jagung,2013,6504.0,25690.0
JAMBI,Jagung,2014,7937.0,43617.0
JAMBI,Jagung,2015,8486.0,51712.0
JAMBI,Jagung,2020,1111.0,7604.47
JAMBI,Jagung,2021,1665.97,9719.01
JAMBI,Jagung,2022,1892.18,10477.45
JAMBI,Jagung,2023,1206.07,7420.62
JAWA BARAT,Jagung,1993,112988.0,274181.0
JAWA BARAT,Jagung,1994,113486.0,273919.0
JAWA BARAT,Jagung,1995,136280.0,332179.0
JAWA BARAT,Jagung,1996,132538.0,344242.0
JAWA BARAT,Jagung,1997,127994.0,336014.0
JAWA BARAT,Jagung,1998,158993.0,426430.0
JAWA BARAT,Jagung,1999,147661.0,418314.0
JAWA BARAT,Jagung,2000,138957.0,412020.0
JAWA BARAT,Jagung,2001,117670.0,361061.0
JAWA BARAT,Jagung,2002,126146.0,464264.0
JAWA BARAT,Jagung,2003,105167.0,443729.0
JAWA BARAT,Jagung,2004,119872.0,549442.0
JAWA BARAT,Jagung,2005,117413.0,587186.0
JAWA BARAT,Jagung,2006,115797.0,573263.0
JAWA BARAT,Jagung,2007,113373.0,577513.0
JAWA BARAT,Jagung,2008,118976.0,639822.0
JAWA BARAT,Jagung,2009,136707.0,787599.0
JAWA BARAT,Jagung,2010,153778.0,923962.0
JAWA BARAT,Jagung,2011,147152.0,945104.0
JAWA BARAT,Jagung,2012,148601.0,1028653.0
JAWA BARAT,Jagung,2013,152923.0,1101998.0
JAWA BARAT,Jagung,2014,142964.0,1047077.0
JAWA BARAT,Jagung,2015,126828.0,959933.0
JAWA BARAT,Jagung,2020,59430.55,418401.74
JAWA BARAT,Jagung,2021,68213.91,491527.65
JAWA BARAT,Jagung,2022,95689.92,727067.64
JAWA BARAT,Jagung,2023,80001.52,597987.46
JAWA TENGAH,Jagung,1993,489673.0,1240472.0
JAWA TENGAH,Jagung,1994,492630.0,1253931.0
JAWA TENGAH,Jagung,1995,672077.0,1707516.0
JAWA TENGAH,Jagung,1996,614928.0,1702890.0
JAWA TENGAH,Jagung,1997,461420.0,1292325.0
JAWA TENGAH,Jagung,1998,648268.0,1781846.0
JAWA TENGAH,Jagung,1999,543994.0,1525281.0
JAWA TENGAH,Jagung,2000,581893.0,1713805.0
JAWA TENGAH,Jagung,2001,528860.0,1553920.0
JAWA TENGAH,Jagung,2002,495224.0,1505706.0
JAWA TENGAH,Jagung,2003,559973.0,1926243.0
JAWA TENGAH,Jagung,2004,521645.0,1836233.0
JAWA TENGAH,Jagung,2005,596303.0,2191258.0
JAWA TENGAH,Jagung,2006,497928.0,1856023.0
JAWA TENGAH,Jagung,2007,571013.0,2233992.0
JAWA TENGAH,Jagung,2008,639354.0,2679914.0
JAWA TENGAH,Jagung,2009,661706.0,3057845.0
JAWA TENGAH,Jagung,2010,631816.0,3058710.0
JAWA TENGAH,Jagung,2011,520149.0,2772575.0
JAWA TENGAH,Jagung,2012,553372.0,3041630.0
JAWA TENGAH,Jagung,2013,532061.0,2930911.0
JAWA TENGAH,Jagung,2014,538102.0,3051516.0
JAWA TENGAH,Jagung,2015,542804.0,3212391.0
JAWA TENGAH,Jagung,2020,377065.18,2279146.32
JAWA TENGAH,Jagung,2021,340315.45,2128959.17
JAWA TENGAH,Jagung,2022,404493.43,2424371.35
JAWA TENGAH,Jagung,2023,384545.62,2259593.87
JAWA TIMUR,Jagung,1993,1012051.0,2363252.0
JAWA TIMUR,Jagung,1994,1117789.0,2636015.0
JAWA TIMUR,Jagung,1995,1187136.0,2820868.0
JAWA TIMUR,Jagung,1996,1269529.0,3417489.0
JAWA TIMUR,Jagung,1997,1099603.0,3048041.0
JAWA TIMUR,Jagung,1998,1348462.0,3765141.0
JAWA TIMUR,Jagung,1999,1132407.0,3150869.0
JAWA TIMUR,Jagung,2000,1170481.0,3487735.0
JAWA TIMUR,Jagung,2001,1135832.0,3529968.0
JAWA TIMUR,Jagung,2002,1043285.0,3692146.0
JAWA TIMUR,Jagung,2003,1169388.0,4181550.0
JAWA TIMUR,Jagung,2004,1141671.0,4133762.0
JAWA TIMUR,Jagung,2005,1206177.0,4398502.0
JAWA TIMUR,Jagung,2006,1099184.0,4011182.0
JAWA TIMUR,Jagung,2007,1153496.0,4252182.0
JAWA TIMUR,Jagung,2008,1235933.0,5053107.0
JAWA TIMUR,Jagung,2009,1295070.0,5266720.0
